1, 3172, 52, 102000
52
1, 19694
2, 69105
3, 85680
4, 94095
5, 98685
6, 100980
7, 101745
8, 102000
9, 102000
10, 90675
11, 80517
12, 64931
13, 45633
14, 29733
15, 18931
16, 12298
17, 7893
18, 5189
19, 3897
20, 3172
21, 31139
22, 76130
23, 100322
24, 102000
25, 102000
26, 102000
27, 102000
28, 102000
29, 102000
30, 79255
31, 59836
32, 38204
33, 22139
34, 12554
35, 8302
36, 5852
37, 4677
38, 4249
39, 3640
40, 3225
41, 32243
42, 75477
43, 99417
44, 101716
45, 102000
46, 102000
47, 102000
48, 102000
49, 102000
50, 82708
51, 61896
52, 38002
